Name,Value
Internet of things‚ 2023,36.4
Electric vehicles‚ 2023,15.3
Artificial intelligence‚ 2023,7.4
Solar photovoltaic‚ 2023,6.5
Other‚ 2023,34.4
Artificial intelligence‚ 2033,29.1
Internet of things‚ 2033,19.1
Blockchain‚ 2033,14.3
Electric vehicles‚ 2033,8.5
Other‚ 2033,29.0
