Name,Value
Internet of things‚ 2023,925
Electric vehicles‚ 2023,388
Artificial intelligence‚ 2023,189
Solar photovoltaic‚ 2023,165
Other‚ 2023,875
Artificial intelligence‚ 2033,4772
Internet of things‚ 2033,3141
Blockchain‚ 2033,2350
Electric vehicles‚ 2033,1401
Other‚ 2033,4756
